Unnamed: 0,price,bed,bath,feet,address,new_flag,link,latitude,longitude
0,525000,1,1,760,"800 E 17th St Brooklyn, NY 11230",False,https://www.trulia.com/p/ny/brooklyn/800-e-17th-st-1b-brooklyn-ny-11230--2171891248,40.6311818,-73.96093692247888
1,8995000,4,4,3140,"90 Furman St Brooklyn, NY 11201",False,https://www.trulia.com/p/ny/brooklyn/90-furman-st-1003-brooklyn-ny-11201--2332137220,40.70209878378378,-73.99535367567567
2,899000,5,4,,"9025 Farragut Rd,Brooklyn, NY 11236",False,https://www.trulia.com/p/ny/brooklyn/9025-farragut-rd-brooklyn-ny-11236--2009880561,40.64388805,-73.90877433421707
3,675000,2,2,1037,"1,037 sqft3441 85th St ",False,https://www.trulia.com/p/ny/flushing/3441-85th-st-1a-flushing-ny-11372--2174517952,,
4,325000,1,1,850,"11034 73rd Rd Forest Hills, NY 11375",False,https://www.trulia.com/p/ny/forest-hills/11034-73rd-rd-4m-forest-hills-ny-11375--2174810999,,
5,1150000,2,2,1073,"207A Prospect Ave Brooklyn, NY 11215",False,https://www.trulia.com/p/ny/brooklyn/207a-prospect-ave-4-brooklyn-ny-11215--2460209115,40.6650379,-73.99160615111583
6,359000,1,1,775,"70-20 108th St Forest Hills, NY 11375",False,https://www.trulia.com/p/ny/forest-hills/70-20-108th-st-2-forest-hills-ny-11375--2624504344,,
7,725000,1,1,,"175 E 79th St New York, NY 10075",False,https://www.trulia.com/p/ny/new-york/175-e-79th-st-6d-new-york-ny-10075--2333469901,40.77483135,-73.95795215444369
8,624999,3,3,1600,"12 Altamont St,Staten Island, NY 10306",False,https://www.trulia.com/p/ny/staten-island/12-altamont-st-staten-island-ny-10306--2008770887,40.57768845,-74.11810374502497
9,588888,4,2,1650,"1600 Castleton Ave,Staten Island, NY 10302",False,https://www.trulia.com/p/ny/staten-island/1600-castleton-ave-staten-island-ny-10302--2008733026,40.63590145,-74.13664191345376
10,589000,2,2,1000,"252 Kensington Ave,Staten Island, NY 10305",False,https://www.trulia.com/p/ny/staten-island/252-kensington-ave-staten-island-ny-10305--2008761060,40.5922471,-74.07498085765008
11,724900,3,3,1344,"1231 Mason Ave,Staten Island, NY 10306",False,https://www.trulia.com/p/ny/staten-island/1231-mason-ave-staten-island-ny-10306--813618,40.57440185,-74.09829158219856
12,1299900,3,6,4500,"3691 Hylan Blvd,Staten Island, NY 10308",False,https://www.trulia.com/p/ny/staten-island/3691-hylan-blvd-staten-island-ny-10308--2008798906,40.54857295,-74.13901465116945
13,699999,3,2,1196,"149 Dixon Ave,Staten Island, NY 10303",False,https://www.trulia.com/p/ny/staten-island/149-dixon-ave-staten-island-ny-10303--2008738053,40.62817915,-74.14689942132854
14,1100000,5,4,2712,"26 Deppe Pl,Staten Island, NY 10314",False,https://www.trulia.com/p/ny/staten-island/26-deppe-pl-staten-island-ny-10314--2008853577,40.617373,-74.1540668777441
15,899000,2,2,1000,"2805 E 26th St Brooklyn, NY 11235",False,https://www.trulia.com/p/ny/brooklyn/2805-e-26th-st-1a-brooklyn-ny-11235--2560537130,40.58460395,-73.94248680158466
16,2800000,4,3,2000,"290 Van Brunt St,Brooklyn, NY 11231",False,https://www.trulia.com/p/ny/brooklyn/290-van-brunt-st-brooklyn-ny-11231--143667,40.6796783,-74.01043023337124
17,589995,3,1,1520,"123 Hendrix St,Brooklyn, NY 11207",False,https://www.trulia.com/p/ny/brooklyn/123-hendrix-st-brooklyn-ny-11207--2009603448,40.6793128,-73.8908786978503
18,2290000,2,3,1235,"106 Central Park S New York, NY 10019",False,https://www.trulia.com/p/ny/new-york/106-central-park-s-14i-new-york-ny-10019--2088844803,40.765454,-73.97692895487805
19,9495000,3,4,3928,"60 Collister St New York, NY 10013",False,https://www.trulia.com/p/ny/new-york/60-collister-st-b-new-york-ny-10013--2624504187,40.7217244,-74.0090522
20,750000,1,1,,"363 E 76th St New York, NY 10021",False,https://www.trulia.com/p/ny/new-york/363-e-76th-st-5a-new-york-ny-10021--2553887276,40.7706063,-73.9543643
21,1150000,2,2,1376,"625 Main St New York, NY 10044",False,https://www.trulia.com/p/ny/new-york/625-main-st-630-new-york-ny-10044--2250588301,40.7633891,-73.9486432
22,728000,2,2,890,"14469 Barclay Ave Flushing, NY 11355",False,https://www.trulia.com/p/ny/flushing/14469-barclay-ave-7b-flushing-ny-11355--2333033260,40.7590745,-73.8234362
23,2200000,3,2,,"33-09 214th Place,Bayside, NY 11361",True,https://www.trulia.com/p/ny/bayside/33-09-214th-pl-bayside-ny-11361--2624736570,40.7722548,-73.77200583470676
24,1288000,3,3,1480,"93-08 68th Avenue,Forest Hills, NY 11375",True,https://www.trulia.com/p/ny/forest-hills/93-08-68th-ave-forest-hills-ny-11375--2624728306,,
25,599000,3,2,1250,"7211 Avenue U,Brooklyn, NY 11234",False,https://www.trulia.com/p/ny/brooklyn/7211-avenue-u-brooklyn-ny-11234--2009863543,40.62068335,-73.90663426981897
26,1295000,1,2,,"71 E 77th St New York, NY 10075",False,https://www.trulia.com/p/ny/new-york/71-e-77th-st-4a-new-york-ny-10075--2478402735,40.774773550000006,-73.96197765144993
27,375000,,1,550,"505 E 82nd St New York, NY 10028",False,https://www.trulia.com/p/ny/new-york/505-e-82nd-st-4f-new-york-ny-10028--2478368238,40.77327135,-73.94835073528152
28,875000,1,1,665,"415 Central Park W New York, NY 10025",False,https://www.trulia.com/p/ny/new-york/415-central-park-w-9bl-new-york-ny-10025--2478345460,40.7950942,-73.9624213
29,800000,2,2,1054,"148-09 Northern Blvd Flushing, NY 11354",False,https://www.trulia.com/p/ny/flushing/148-09-northern-blvd-2j-flushing-ny-11354--2009916337,40.7654485,-73.8181059
