price,bed,bath,feet,address,new_flag,company,latitude,longitude,distance
5490000,4.0,6.0,6936.0,"99 Buttonwood Rd,Staten Island, NY 10304",True,"NEUHAUS REALTY, INC.",40.59636325,-74.10887746654677,24.092673936319457
1888000,7.0,4.0,2596.0,"1149 74th St,Brooklyn, NY 11228",True,REMAX REAL ESTATE PROFESSIONALS,40.62292205,-74.00978208280965,18.346855885670475
800000,1.0,1.0,668.0,"476 Union Ave #2A,Brooklyn, NY 11211",True,COMPASS,40.7147413,-73.95153124952415,7.939362435745633
695000,0.0,1.0,441.0,"75 Wall St #33L,New York, NY 10005",True,PLATINUM PROPERTIES,40.70514065,-74.00797833903508,9.490253689866064
725000,1.0,1.0,700.0,"100 Beekman St #16B,New York, NY 10038",True,BRIDGE PROPERTY GROUP LLC,40.7086059,-74.0033669,8.9955462039337
365000,1.0,1.0,,"3114 Crescent St #7A,Astoria, NY 11106",True,NATIVE REAL ESTATE LLC,40.7652383,-73.9266714,4.147510941118259
5750000,4.0,4.0,4605.0,"75 2nd Pl,Brooklyn, NY 11231",True,BROWNSTONE REAL ESTATE,40.68000685,-73.99823010167265,11.940485520907163
1180000,4.0,3.0,,"2019 W 12th St #2,Brooklyn, NY 11223",True,PROBASE REAL ESTATE,40.5976128,-73.98324831691649,20.85745302237924
289000,0.0,,2400.0,"633 Mead St,Bronx, NY 10460",True,COUNTRYWIDE REAL ESTATE INC,40.84239895918368,-73.86689718367346,10.661918986272449
1200000,0.0,,3600.0,"609 E 95th St,Brooklyn, NY 11236",True,ENGLISH R BRENT,40.6533014,-73.91393872636235,15.338471551649748
725000,3.0,2.0,1900.0,"166-25 Powells Cove Boulevard UNIT 6F,Whitestone, NY 11357",True,REALTY ONE GROUP DYNASTY,,,
799000,3.0,4.0,2400.0,"217 Freeborn St,Staten Island, NY 10306",True,RE/MAX EDGE,40.57415434782609,-74.09302604347826,25.68848216206873
947000,3.0,2.0,1624.0,"114-15 115th Street,South Ozone Park, NY 11420",True,R NEW YORK,40.6713248,-73.8245226,17.524522679242672
749000,1.0,1.0,,"16 W 16th St #7GS,New York, NY 10011",True,DOUGLAS ELLIMAN,40.73759015,-73.99380880477267,5.698222395261023
1295000,2.0,2.0,1400.0,"415 E 52nd St #15CC,New York, NY 10022",True,BROWN HARRIS STEVENS,40.75489535,-73.96415391207051,3.371300438740688
399000,2.0,1.0,,"1020 Grand Concourse #11V,Bronx, NY 10451",True,BANK NEARY,40.83022331578947,-73.92058694736842,6.4279155535325305
289000,0.0,1.0,,"1020 Grand Concourse #18T,Bronx, NY 10451",True,BANK NEARY,40.83022331578947,-73.92058694736842,6.4279155535325305
648000,2.0,2.0,1185.0,"76-12 35th Ave #5L,Jackson Heights, NY 11372",True,CORE,40.7511223,-73.8898964,7.617835498463946
369000,0.0,1.0,,"233 E 69th St #8F,New York, NY 10021",True,ARGO RESIDENTIAL,40.7671834,-73.9602686,2.1006260453209697
625000,0.0,1.0,,"150 W End Ave #27K,New York, NY 10023",True,THE AGENCY,40.776586,-73.98599193583159,1.7680967150986329
569000,3.0,2.0,,"94-11 60th Avenue UNIT 3J,Elmhurst, NY 11373",True,LUCKY REAL ESTATE LLC,,,
298000,0.0,1.0,,"5900 Arlington Ave #8R,Bronx, NY 10471",True,ARGO RESIDENTIAL,40.909105100000005,-73.9054834157342,14.755084711955238
1558000,2.0,2.0,,"33-66 Farrington Street UNIT 13A,Flushing, NY 11354",True,EAST COAST REALTORS INC,,,
770000,3.0,2.0,,"70-03 52 Avenue,Flushing, NY 11378",True,O KANE REALTY,,,
747000,4.0,2.0,1575.0,"158 Ditmars St,Bronx, NY 10464",True,R NEW YORK,40.84970415,-73.78655551731936,16.92790796463176
799000,0.0,1.0,,"16 W 16th St #2,New York, NY 10011",True,DOUGLAS ELLIMAN,40.73759015,-73.99380880477267,5.698222395261023
2349000,3.0,3.0,1592.0,"100 Jay St #23H,Brooklyn, NY 11201",True,SERHANT.,40.702304,-73.986806,9.3255447236455
2300000,6.0,5.0,2868.0,"125 N Bay 10th St,Brooklyn, NY 11228",True,BEN BAY REALTY CO,40.607582,-74.012281,20.05970027070428
